query_language,title,year,venue,authors,doi,openalex_url,matched_keywords,relation_sides,cited_by_count,type
ar,تعليم العربية بين التراث وتحديات المستقبل,2020,الإنسانيات,ا.د.محمود فراج عبد الحافظ فراج,10.21608/ins.2020.235022,https://openalex.org/W4285718280,['التراث'],arab,0,article
ar,التراث الثقافي العماني والتنمية المستدامة: دور المؤسسات البحثية وجهود منظمات المجتمع المدني التخصصية,2022,Journal of Arts and Social Sciences [JASS],علي بن سعيد الريامي; ناصر الصقري,10.53542/jass.v13i1.4938,https://openalex.org/W4388733207,['التراث الثقافي'],arab,0,article
ar,تأثیر العمران المستدام علی التنمیة السیاحیة بالمدن التراثیة,2020,Journal of Engineering Research - Egypt/Journal of Engineering Research,ولاء أ نور; مروة قمر الدولة; میار خورشد,10.21608/erjeng.2020.125461,https://openalex.org/W3112591060,['التنمية السياحية'],arab,1,article
ar,تقييم الخدمات المالية والمصرفية المقدمة للزوار في المدينة المنورة خلال موسم الحج لعام: 1434هـ,2017,مجلة بيت المشورة,Abid Al-Abdali,10.33001/m300420170631,https://openalex.org/W3111103670,['الحج'],arab,0,article
ar,أثر تطبیق إدارة الموارد البشریة الخضراءعلى تنمیة السیاحة الخضراء فی وجود الرشاقة التنظیمیة (کمتغیر وسیط) دراسة تطبیقیة على العاملین بشرکات السیاحة المصریة فئة (أ),2022,مجلة البحوث المالیة والتجاریة,شیماء البطران; نهلة مشهور; سماح الشناوى,10.21608/jsst.2022.155778.1463,https://openalex.org/W4295543222,['صناعة السياحة'],arab,0,article
ar,The tourism sector and its adaptation measures with the requirements of sustainable development and the green economy in Algeria.,2022,Revue Sciences Humaines (Université des Frères Mentouri Constantine 1),محمد بلعيدي; زهير زواش; Mohamed Belaidi; Zohir Zouache; Mohamed Belaidi; Zohir Zouache,,https://openalex.org/W7139210547,['التنمية السياحية'],arab,0,book
ar,أثر مكونات الهرم السكاني على التنمية السياحية المستدامة: دراسة حالة محافظة العقبة في الأردن,2017,دراسات,إبراهيم خليل إبراهيم بظاظو,10.34118/0136-000-052-018,https://openalex.org/W2953948825,['التنمية السياحية'],arab,0,article
ar,أثر إدراج مواقع العين على قائمة التراث العالمي في حماية تلك المواقع وإدارتها,2025,Al-Adab Journal,عبدالله الكعبي; مجد موسى,10.31973/13s7ek29,https://openalex.org/W4411245151,['التراث الثقافي'],arab,0,article
ar,تقييم الخدمات المالية والمصرفية المقدمة للزوار في المدينة المنورة خلال موسم الحج,2018,المجلة العملیة التجارة والتمویل,عابد بن عابد العبدلى,10.21608/caf.2018.126025,https://openalex.org/W4240366657,['الحج'],arab,0,article
ar,الآليات الوطنية و الدولية لحماية التراث الثقافي الجزائري,2015,مجلة التراث,سائحي العلاء,10.12816/0012035,https://openalex.org/W2512595868,['التراث الثقافي'],arab,0,article
ar,فحص وصیانة وترمیم بعض البردیات المحفوظة بالمتحف المصری – القاهرة,2019,The Conference Book of the General Union of Arab Archaeologists/The Conference Book of the General Union of Arab Archaeologists,Atef Brania,10.21608/cguaa.2019.39079,https://openalex.org/W2959036668,['المتحف'],arab,0,conference-paper
ar,آثار اختلاف القراءات المتواترة وتوجيهها ودلالاتها: نماذج تطبيقية مختارة من سورة (الحج),2020,DOAJ (DOAJ: Directory of Open Access Journals),عدنان بن عبد الرزاق الحموي العلبي,,https://openalex.org/W4309132341,['الحج'],arab,0,article
ar,الإعلام السياحي ودوره في الترويج للسياحة البيئية في الجزائر,2021,Recherchers economiques manageriales,نجود حمري; كلثوم البز,,https://openalex.org/W3205088341,['السياحي'],arab,0,article
ar,السياحة الخليجية بين سلوكيات الأفراد ومسؤولية السلطات,2014,مجلة الدراسات الإقتصادية والمالية,رجراج أحمد,,https://openalex.org/W2937756468,['السياحة'],arab,0,article
ar,دور التسویق الوردی فی إتخاذ السائح قرار الشراء: بالتطبیق على شرکات السیاحة المصریة,2021,مجلة کلية السياحة والفنادق - جامعة مدينة السادات,مهاد خلیل; تقی فهمی; محمود عبداللاه,10.21608/mfth.2021.205214,https://openalex.org/W4206266543,['السائح'],arab,0,article
ar,مواقع التراث العالمي المهدد بالخطر في شمال غرب سورية: بارك الجبل الأعلى- رقم (6),2025,مجلة الآداب,أنس أحمد حج زيدان,10.35696/joa.v13i2.2610,https://openalex.org/W4410774330,['المعالم الأثرية'],arab,0,article
ar,Entrepreneurship: A strategy for Creating Innovative Tourism Products in Egyptian Travel Agencies,2018,مجلة کلية السياحة والفنادق - جامعة مدينة السادات,Dalia Hassan; Nehad Kamal; Amany R. Mohammed; Habatallah Gaafar,10.21608/mfth.2018.26248,https://openalex.org/W2917299860,"['السفر', 'الضيافة', 'صناعة الضيافة']",arab,1,article
ar,المسارات التراثیة السیاحیة کأداة لتحقیق التنمیة المستدامة للمدن,2017,Journal of Al-Azhar University Engineering Sector,محمد شوقی أبولیله; مهند فوده,10.21608/auej.2017.19272,https://openalex.org/W2901215882,"['السائحين', 'السياحة التراثية', 'السياحة المستدامة']",arab,1,article
ar,فرصة تسويق صناعة السياحة الروحية الدينية وإمكانياتها بالجزائر,2013,Dirassat Journal Economic Issue,Miloud Zidelkhir; Med Tahar Kadri,10.34118/djei.v4i2.585,https://openalex.org/W4298300454,"['السياحة', 'السياحة الدينية', 'صناعة السياحة']",arab,0,article
ar,"دور التخطيط السياحي في دعم التنمية السياحية المستدامة الداخلية:, دراسة حالة الجزائر",2019,مجلة رماح للبحوث والدراسات,هارون العشي; فايزة بوراس,10.33953/1371-000-033-003,https://openalex.org/W3092934712,['التنمية السياحية'],arab,0,article
