dim_ok,dim_tourism_level,title,year,type,type_label,venue,authors,doi,url,source_db,dim_cn,dim_ar,dim_tourism_strong,dim_tourism_weak
True,strong,"Bananas, Beaches and Bases",2014,book,,,Cynthia Enloe,10.1525/9780520957282,,,chinese,persian gulf,tourists,
True,strong,Occupational risks for COVID-19 infection,2020,article,,Occupational Medicine,David Koh,10.1093/occmed/kqaa036,,,china; chinese; hong kong,arabia; jordan; middle east; saudi,cruise; hospitality; tourism; visitors,
True,strong,Food preferences of Chinese tourists,2010,journal-article,期刊论文,Annals of Tourism Research,Richard C.Y. Chang; Jakša Kivela; Athena H.N. Mak,10.1016/j.annals.2010.03.007,https://doi.org/10.1016/j.annals.2010.03.007,crossref,chinese,arab,tourists,
True,strong,Coastal Zone Management Handbook,2018,book,,,John R. Clark,10.1201/9781315139654,,,china,egypt; oman,ecotourism; tourism,
True,strong,Consumer Behaviour in Tourism,2016,book,,,Susan Horner; John Swarbrooke,10.4324/9781315795232,,,china,middle east,attractions; destinations; hospitality; tourism; tourist; tourists; travel; visitor,
True,strong,Mental Health Response to the COVID-19 Outbreak in China,2020,article,,American Journal of Psychiatry,Junying Zhou; Liu Liu; Pei Xue; Xiaorong Yang; Xiangdong Tang,10.1176/appi.ajp.2020.20030304,,,china; chinese; macau; shanghai,egyptian; middle east,tourism,
True,strong,Measuring Tourists’ Emotional Experiences,2014,journal-article,期刊论文,Journal of Travel Research,Sameer Hosany; Girish Prayag; Siripan Deesilatham; Senija Cauševic; Khaled Odeh,10.1177/0047287514522878,https://doi.org/10.1177/0047287514522878,crossref,china,arabic; jordan,destination; destinations; tourists,
True,strong,Destination image repair during crisis: Attracting tourism during the Arab Spring uprisings,2015,journal-article,期刊论文,Tourism Management,Eli Avraham,10.1016/j.tourman.2014.10.003,https://doi.org/10.1016/j.tourman.2014.10.003,crossref,china,arab,destination; tourism,
True,strong,China Goes Global: The Partial Power,2014,article,,Political Science Quarterly,Andrew Scobell,10.1002/polq.12242,,,beijing; china,middle east,tourism,
True,strong,"Make It Memorable: Tourism Experience, Fun, Recommendation and Revisit Intentions of Chinese Outbound Tourists",2020,journal-article,期刊论文,Sustainability,Xin Chen; Zhen-feng Cheng; Gyu-Bae Kim,10.3390/su12051904,https://doi.org/10.3390/su12051904,crossref,chinese,arab,destination; destinations; tourism; tourist; tourists,
True,strong,Smart City and Smart Tourism: A Case of Dubai,2017,journal-article,期刊论文,Sustainability,M. Khan; Mina Woo; Kichan Nam; Prakash Chathoth,10.3390/su9122279,https://doi.org/10.3390/su9122279,crossref,china,dubai,destination; tourism; tourists; travel,
True,strong,Rural tourism in China,2011,journal-article,期刊论文,Tourism Management,Baoren Su,10.1016/j.tourman.2010.12.005,https://doi.org/10.1016/j.tourman.2010.12.005,crossref,china,arab,tourism,
True,strong,Global travel patterns: an overview,2017,article,,Journal of Travel Medicine,Dirk Glaesser; John Kester; Hanna Paulose; Abbas Alizadeh; Birka Valentin,10.1093/jtm/tax007,,,china; chinese,arab; arabia; bahrain; egypt; emirates; iraq; jordan; kuwait; lebanon; libya; middle east; oman; qatar; saudi; syrian; yemen,destination; destinations; leisure; tourism; tourist; tourists; travel; traveller; travellers; visitors,
True,strong,When east meets west: An exploratory study on Chinese outbound tourists’ travel expectations,2011,journal-article,期刊论文,Tourism Management,Xiang (Robert) Li; Chengting Lai; Rich Harrill; Sheryl Kline; Liangyan Wang,10.1016/j.tourman.2010.06.009,https://doi.org/10.1016/j.tourman.2010.06.009,crossref,chinese,arab,tourists; travel,
True,strong,Mobility,2017,book,,,Peter Adey,10.4324/9781315669298,,,china,middle east,tourism,
