query_language,tier,relation_sides,relevance_grade,title,year,type,type_label,venue,publisher,authors,doi,url,cited_by_count,crawl_query,has_abstract
en,strict,both,A_双边_文旅核心,"AlUla: Wonder of Arabia at the Palace Museum, Beijing: Bridging Global Cultural and Archaeological Engagement Between China and the Arab World",2026,journal-article,期刊论文,American Journal of Archaeology,University of Chicago Press,Ran Zhang; Ruopu Zhai,10.1086/739394,https://doi.org/10.1086/739394,0,China Arab museum cooperation,False
en,strict,both,B_双边_弱文旅,"BRI-DRIVEN TRANSFORMATION IN THE NEAR AND MIDDLE EAST: INFRASTRUCTURE, SECURITY, AND STRATEGIC DEPENDENCIES IN CHINA-MIDDLE EAST RELATIONS",2026,journal-article,期刊论文,Metafizika Journal,AcademyGate,Yujia Ma,10.33864/2617-751x.2026.v9.i1.296-304,https://doi.org/10.33864/2617-751x.2026.v9.i1.296-304,0,China Middle East tourism,True
en,strict,both,A_双边_文旅核心,Balancing heritage and modernization: the challenges and opportunities of cultural heritage conservation in Saudi Arabia,2026,journal-article,期刊论文,Frontiers in Built Environment,Frontiers Media SA,Mohammed Mashary Alnaim; Mashary Abdullah Alnaim,10.3389/fbuil.2026.1927868,https://doi.org/10.3389/fbuil.2026.1927868,0,China Saudi Arabia cultural heritage,True
en,strict,both,A_双边_文旅核心,Connecting cultures: a case study of the language dilemma between Chinese tourists and Saudi tourism service providers,2026,journal-article,期刊论文,Journal of Teaching in Travel &amp; Tourism,Informa UK Limited,Abdullah Hawsawi; Po-Ju Chen; Thi Tu Nhi Tran,10.1080/15313220.2026.2709644,https://doi.org/10.1080/15313220.2026.2709644,0,China Saudi tourists,False
en,strict,both,B_双边_弱文旅,Cultural Intelligence and Innovation Performance among Arab Entrepreneurs in China: The Moderating Role of Learning Agility,2026,journal-article,期刊论文,International Journal of Science and Business,IJSAB International,"Business School, University of International Business and Economics, Beijing, China.; Sarah Medhat Khattab; Shimin Liu; Business School, University of International Business and Economics, Beijing, China.",10.58970/ijsb.2655,https://doi.org/10.58970/ijsb.2655,0,China Arab cultural exchange,True
en,strict,both,A_双边_文旅核心,Iraq,2026,book-chapter,图书章节,Cases on China's Partnerships and International Development in Asia,IGI Global Scientific Publishing,Bo Zhang,10.4018/979-8-3373-2990-1.ch003,https://doi.org/10.4018/979-8-3373-2990-1.ch003,0,China Iraq tourism,True
en,strict,both,B_双边_弱文旅,Islamic Education In Early 20th Century In China,2026,journal-article,期刊论文,"SERUMPUN : Journal of Education, Politic, and Social Humaniora",Yayasan Maslahatul Ummah Ilal Jannah,Mai Jianjun,10.61590/srp.v4i1.211,https://doi.org/10.61590/srp.v4i1.211,0,China Islamic tourism,True
en,strict,both,B_双边_弱文旅,"Legal Protection of Overseas Petroleum Cooperation and Development in the Context of the ""Belt and Road""",2026,journal-article,期刊论文,Lecture Notes in Education Psychology and Public Media,EWA Publishing,Lingzi Zeng,10.54254/2753-7048/2026.33764,https://doi.org/10.54254/2753-7048/2026.33764,0,Belt and Road cultural cooperation,True
en,strict,both,A_双边_文旅核心,Mapping smart tourism technologies in halal tourism: bibliometric evidence and thematic research gaps,2026,journal-article,期刊论文,JRTI (Jurnal Riset Tindakan Indonesia),"Indonesian Institute for Counseling, Education and Therapy",Youmil Abrian; Yunia Wardi; Susi Evanita,10.29210/30036830000,https://doi.org/10.29210/30036830000,0,China halal tourism,True
en,strict,both,A_双边_文旅核心,Muslim-friendly Tourism,2026,book-chapter,图书章节,Dynamics of Niche Tourism in Malaysia,Emerald Publishing Limited,Thinaranjeney Thirumoorthi; Farzana Parveen Tajudeen,10.1108/978-1-80686-315-020261008,https://doi.org/10.1108/978-1-80686-315-020261008,0,China Muslim tourism,True
