query_language,title,year,venue,authors,doi,openalex_url,matched_keywords,relation_sides,cited_by_count,type
en,Chinese Relations with the Maghreb: The leading role of Algeria,2019,,Yahia H. Zoubir,,https://openalex.org/W3117436581,['Sino-Arab cooperation'],both,2,article
en,"Stereotyping the Chinese in Arab Nations:Effects of media use, perceived realism, and perceived Chinese-Arab relations",2022,The Social Science Journal,Muhammad Khalil Khan; Marwan H. Sallam; Cornelius B. Pratt; Tahir Farid,10.1080/03623319.2021.2025197,https://openalex.org/W4210618376,['Chinese-Arab relations'],both,5,article
en,Sino-Arab Cooperation and Its Impact on Human Rights in the Arab Region,2022,Rowaq Arabi - رواق عربي,Ahmed A. Khalifa; Rokaya M. Selim,10.53833/xzcl9938,https://openalex.org/W4311851717,['Sino-Arab cooperation'],both,0,article
en,Study on Research Advances in Huihui Formularies,2013,,Wang Ji,,https://openalex.org/W2358221540,"['China Arab cultural exchange', 'China-Arab cultural exchange']",both,0,article
en,China-Arab Cultural Exchange Cemented ＂China-Arab Cultural Tour along the Silk Roads＂ Launched in Beijing,2013,中外文化交流：英文版,Wen; Xuân Xuân,,https://openalex.org/W925006589,"['China Arab cultural exchange', 'China-Arab cultural exchange']",both,0,article
en,The political economy of China–Arab relations: challenges and opportunities,2017,Contemporary Arab Affairs,Mohamed Hamchi,10.1080/17550912.2017.1402481,https://openalex.org/W2773013473,['Chinese-Arab relations'],both,2,article
en,The Middle East Transformation and the Opportunities of China-Arab Relations,2012,,Weijian Li,,https://openalex.org/W2392860040,['Chinese-Arab relations'],both,0,article
en,"Internal structural changes in China-Arab League relations: characteristics, motivations and influences",2022,Asian Journal of Middle Eastern and Islamic Studies,Zhiqiang Wang; Jun Zhao,10.1080/25765949.2022.2057067,https://openalex.org/W4220755543,['Chinese-Arab relations'],both,4,article
en,The Three Breakthroughs,2025,,Jonathan Fulton,10.4324/9781003295624-4,https://openalex.org/W4411651024,['Sino-Arab cooperation'],both,0,book-chapter
en,التوجه شرقا: آفاق الشراكة العربية-الصينية في ضوء مبادرة التنمية العالمية / Turning Eastward: Exploring the Prospects of Arab-China Partnership in the Context of the Global Development Initiative,2025,Chinese and Arab Studies,Maryam Mohsen Hassan; Jiaxuan Wang,10.1515/caas-2025-2005,https://openalex.org/W7164645884,['Chinese-Arab relations'],both,0,article
en,The Internationalisation of Muslim Chinese Ummah During the Tang Dynasty,2024,Journal of Strategic Studies & International Affairs,Halimah Ye; Azlizan Mat Enh; Suffian Mansor,10.17576/sinergi.0402.2024.08,https://openalex.org/W4406072186,['Chinese-Arab relations'],both,0,article
en,Collateral Damage in Sino-Arabic Cooperation: Assessing Middle Eastern and North African Silence and Complicity in the Uyghur Crisis,2023,Understanding China,Anna Hayes,10.1007/978-3-031-31042-3_10,https://openalex.org/W4379165008,['Sino-Arab cooperation'],both,4,book-chapter
