query_language,lang_consistent,script_detected_lang,relevance_hit_count,relevance_hits,title,year,venue,authors,doi,openalex_url,abstract_snippet
en,True,en,0,[],Arab-Chinese Cooperation in the Field of Artificial Intelligence Opportunities and Challenges,2024,Chinese and Arab Studies,Sami Abu Assi,10.1515/caas-2024-2008,https://openalex.org/W4413809189,"Abstract This study explores the role of artificial intelligence (AI) as a driver of economic growth and digital transformation, with a focus on China's progress in this field. It analyzes the opportu"
en,True,en,0,[],The Spirit of Silk Road: The Impact of Medieval Chinese–Arab Relations on the Contemporary Bilateral Sino–Arab Relations,2019,,Tarek Ladjal; Tayeb Brahimi,10.1108/978-1-78756-679-820191002,https://openalex.org/W2950583655,Abstract The nature of the relationship between the Arabs and China in its historical and current dimensions raises the issue of compatibility and coexistence and the possibility of its continuity amo
en,True,en,0,[],Arabic language teaching and interpreter training in the context of rapidly evolving China–Arab relations,2024,,Zijian Guo; Guanda Xue,10.4324/9781032687766-34,https://openalex.org/W4403772289,"This chapter explores the nuances of Arabic language instruction and interpreter training within the context of evolving China-Arab relations. As these relations deepen, the demand for linguistic and "
en,True,en,0,[],"Internal structural changes in China-Arab League relations: characteristics, motivations and influences",2022,Asian Journal of Middle Eastern and Islamic Studies,Zhiqiang Wang; Jun Zhao,10.1080/25765949.2022.2057067,https://openalex.org/W4220755543,"It is a common phenomenon in international relations that the interaction between international actors leads to structural changes, which are often manifested as a positive friendly relationship or an"
en,True,en,0,[],China-Arab Relations in the 60 Years’ Evolution,2010,Journal of Middle Eastern and Islamic Studies (in Asia),Fuchang Yang,10.1080/19370679.2010.12023145,https://openalex.org/W2884646010,":The China-Arab relationship is one of the most significant and influential sections of China’s foreign relations, and also a key area of China’s diplomacy. China’s friendlycommunication and exchange "
zh,True,zh,0,[],深化金融合作 创新金融发展——中国—阿拉伯国家金融合作论坛成功举行,2013,宁夏画报：时政版,苏保伟; 王猛,,https://openalex.org/W2476038352,"2013年9月16日,由中国人民银行、中国银监会、中国证监会、中国保监会和宁夏回族自治区人民政府主办,宁夏回族自治区商务厅、英国《金融时报》、FT中文网协办的首届中阿博览会金融合作论坛在宁夏银川成功举行,本次论坛吸引了也门工业与贸易部部长萨阿·丁·阿里·萨利姆·塔利布、莫桑比亚财政部长曼努埃"
zh,True,zh,0,[],中阿合作 走向世界——从中阿经贸论坛到中阿博览会,2015,新商务周刊,曹雄,,https://openalex.org/W2332599779,在国务院和中央有关部委支持下，宁夏以小省区也能干大事业的雄心壮志，自2010年承办中阿经贸论坛以来，以“芝麻开花节节高”的气势，将中阿论坛越做越大，前景可期。由是，2013年升格论坛为国家级、国际性的综合博览会——中阿博览会。
zh,True,zh,0,[],东方丝路迎客来——2015中阿博览会主题文艺晚会《丝路金桥》,2015,宁夏画报：时政版,高岩玮; 李青钰,,https://openalex.org/W2521698081,"由中华人民共和国文化部、宁夏回族自治区人民政府主办,文化部对外文化联络局、宁夏回族自治区文化厅承办的2015中阿博览会主题文艺晚会《丝路金桥》于9月9日在宁夏大剧院上演。来自中国和阿拉伯国家的百余名演员携手奉献了歌舞、民族乐器演奏、京剧等各具特色的节目。整场晚会高潮迭起,掌声连连。梨园共秀新丝路,华夏国粹呈异彩,中阿演员携手同台,在这黄河奔流的塞上,架起了继往开来的丝路金桥。"
zh,True,zh,0,[],对外传播“打包推送”的实践——以新华社与阿拉伯报纸专版合作为例,2016,对外传播,夏晨; 卜多门,,https://openalex.org/W2460463189,"近两年来,新华社阿拉伯文专线抓住习主席出访中东、埃及总统塞西首次正式访华、中阿博览会等契机,采写了一批重点精品稿件,被阿拉伯媒体中影响力较大的埃及中东通讯社、《华夫托报》等全文转发。同时,新华社还分别与埃及《金字塔报》《共和国报》、约旦《宪章报》、沙特《利雅得报》等进行了专版合作,彰显了新华社报道的权威性和专业性,有效提升了中国媒体在中东地区的影响力。"
zh,True,zh,0,[],中阿经贸论坛：独有的中阿合作＂宁夏渠道＂,2012,今日中国：中文版,徐影,,https://openalex.org/W936739314,来到宁夏，特别是南部山区，总能碰到用或绿或黑或白的细薄纱遮住头部和脖子，只露出两只乌溜溜眼睛的女子，而且这些女子的眼窝较深，眼睛很大，肤色稍白。如果对伊斯兰教有些许的了解，你就会明白自己来到了一个穆斯林聚居地。因为她们头上戴的，就是完全符合伊斯兰教习俗的盖头。
